language	book	k	kmer	count	frequency
dutch	camera_obscura	1	P	5062	0.013912173564121872
dutch	camera_obscura	1	R	18848	0.051800997103233715
dutch	camera_obscura	1	O	25108	0.06900570008849703
dutch	camera_obscura	1	D	18867	0.051853215850313585
dutch	camera_obscura	1	U	9276	0.025493741995415743
dutch	camera_obscura	1	C	7740	0.021272268547274455
dutch	camera_obscura	1	E	44394	0.12201047672967728
dutch	camera_obscura	1	B	5110	0.014044094609376289
dutch	camera_obscura	1	Y	5485	0.015074727775426407
dutch	camera_obscura	1	G	8104	0.02227266980712044
dutch	camera_obscura	1	F	8605	0.023649595716963397
dutch	camera_obscura	1	A	31631	0.08693322046755017
dutch	camera_obscura	1	N	24229	0.06658989594727556
dutch	camera_obscura	1	K	4128	0.01134520989187971
dutch	camera_obscura	1	T	32756	0.09002511996570053
dutch	camera_obscura	1	H	28448	0.07818520615411675
dutch	camera_obscura	1	L	13820	0.03798226761283372
dutch	camera_obscura	1	I	26119	0.07178428710416815
dutch	camera_obscura	1	S	22646	0.062239249808989316
dutch	camera_obscura	1	M	8850	0.024322942718782808
dutch	camera_obscura	1	W	9759	0.026821197513288295
dutch	camera_obscura	1	V	3459	0.009506560323646298
dutch	camera_obscura	1	J	268	0.0007365591693371517
dutch	camera_obscura	1	X	440	0.001209276248165473
dutch	camera_obscura	1	Z	341	0.0009371890923282416
dutch	camera_obscura	1	Q	361	0.0009921561945175812
dutch	max_havelaar	1	M	13777	0.02345967649928567
dutch	max_havelaar	1	A	46428	0.07905827542344741
dutch	max_havelaar	1	X	208	0.0003541854331023749
dutch	max_havelaar	1	H	18571	0.03162296960646252
dutch	max_havelaar	1	V	14625	0.024903663265010735
dutch	max_havelaar	1	E	108937	0.1854995121436222
dutch	max_havelaar	1	L	20629	0.03512736201667736
dutch	max_havelaar	1	R	34401	0.05857852444305192
dutch	max_havelaar	1	O	36071	0.06142222479536426
dutch	max_havelaar	1	F	4791	0.008158184663430183
dutch	max_havelaar	1	D	37275	0.06347241355236069
dutch	max_havelaar	1	K	14867	0.02531574439390869
dutch	max_havelaar	1	I	32379	0.0551354333577971
dutch	max_havelaar	1	N	60667	0.10330465225972009
dutch	max_havelaar	1	G	20481	0.034875345458508365
dutch	max_havelaar	1	S	21144	0.03600431152652219
dutch	max_havelaar	1	C	6806	0.01158935604660944
dutch	max_havelaar	1	T	37392	0.06367164285848079
dutch	max_havelaar	1	P	6838	0.011643846113240576
dutch	max_havelaar	1	Y	8787	0.014962631733993117
dutch	max_havelaar	1	U	9937	0.016920868503549517
