language	book	k	kmer	count	frequency
dutch	camera_obscura	2	PR	398	0.0010938483398515335
dutch	camera_obscura	2	RO	2287	0.006285505410151902
dutch	camera_obscura	2	OD	709	0.0019485891280269778
dutch	camera_obscura	2	DU	276	0.0007585480949724202
dutch	camera_obscura	2	UC	486	0.001335704254190566
dutch	camera_obscura	2	CE	1311	0.0036031034511189958
dutch	camera_obscura	2	ED	5114	0.014055126658293322
dutch	camera_obscura	2	DB	749	0.00205852363454472
dutch	camera_obscura	2	BY	188	0.0005166921806333876
dutch	camera_obscura	2	YR	68	0.0001868886610801615
dutch	camera_obscura	2	OG	305	0.0008382506121977832
dutch	camera_obscura	2	GE	1028	0.002825316817505971
dutch	camera_obscura	2	ER	5928	0.016292293865929373
dutch	camera_obscura	2	RF	316	0.0008684826014901622
dutch	camera_obscura	2	FR	668	0.0018359062588462923
dutch	camera_obscura	2	RA	1850	0.00508447092644557
dutch	camera_obscura	2	AN	6119	0.01681723113455159
dutch	camera_obscura	2	NK	235	0.0006458652257917346
dutch	camera_obscura	2	KA	454	0.0012477566489763722
dutch	camera_obscura	2	ND	5128	0.014093603735574532
dutch	camera_obscura	2	DT	2112	0.005804541944136781
dutch	camera_obscura	2	TH	12966	0.03563527028772609
dutch	camera_obscura	2	HE	13282	0.03650375288921625
dutch	camera_obscura	2	EO	858	0.002358095164805567
dutch	camera_obscura	2	ON	2959	0.00813240511964997
dutch	camera_obscura	2	NL	322	0.0008849727774678236
dutch	camera_obscura	2	LI	1878	0.005161425081007989
dutch	camera_obscura	2	IN	7078	0.019452910928314457
dutch	camera_obscura	2	NE	2284	0.006277260322163071
dutch	camera_obscura	2	DI	1617	0.004444102425979723
dutch	camera_obscura	2	IS	3760	0.010333843612667754
dutch	camera_obscura	2	ST	4053	0.011139113872910214
dutch	camera_obscura	2	TR	1037	0.002850052081472463
dutch	camera_obscura	2	RI	1571	0.004317677743484319
dutch	camera_obscura	2	IB	211	0.0005799045218810894
dutch	camera_obscura	2	BU	544	0.001495109288641292
dutch	camera_obscura	2	UT	1367	0.0037570117602438347
dutch	camera_obscura	2	TE	2418	0.0066455409189975076
dutch	camera_obscura	2	DP	219	0.0006018914231846377
dutch	camera_obscura	2	OO	1455	0.0039988676745828676
dutch	camera_obscura	2	OF	2616	0.00718971672626033
dutch	camera_obscura	2	RE	4664	0.012818363459968724
dutch	camera_obscura	2	EA	4180	0.011488155931104044
dutch	camera_obscura	2	AD	2222	0.006106861837060571
dutch	camera_obscura	2	NG	3574	0.009822648157360253
dutch	camera_obscura	2	GT	546	0.001500606013967179
dutch	camera_obscura	2	AM	997	0.002740117574954721
dutch	camera_obscura	2	MA	1668	0.004584268921789844
dutch	camera_obscura	2	AT	4135	0.011364479611271586
dutch	camera_obscura	2	HT	1354	0.0037212830456255686
dutch	camera_obscura	2	TT	1931	0.005307088302143998
dutch	camera_obscura	2	TP	112	0.0003078166182496778
dutch	camera_obscura	2	PW	40	0.00010993450651774205
dutch	camera_obscura	2	WW	127	0.00034904205819383103
dutch	camera_obscura	2	WP	11	3.0231989292379064e-05
dutch	camera_obscura	2	PG	10	2.7483626629435513e-05
dutch	camera_obscura	2	GD	110	0.00030231989292379063
dutch	camera_obscura	2	PN	7	1.923853864060486e-05
dutch	camera_obscura	2	ET	2971	0.008165385471605292
dutch	camera_obscura	2	TI	2307	0.006340472663410773
dutch	camera_obscura	2	IL	1197	0.003289790107543431
dutch	camera_obscura	2	LL	1572	0.0043204261061472625
dutch	camera_obscura	2	LU	271	0.0007448062816577025
dutch	camera_obscura	2	US	958	0.002632931431099922
dutch	camera_obscura	2	IO	902	0.002479023121975083
dutch	camera_obscura	2	NA	1144	0.003144126886407423
dutch	camera_obscura	2	AG	777	0.002135477789107139
dutch	camera_obscura	2	GA	916	0.002517500199256293
dutch	camera_obscura	2	AI	1305	0.0035866132751413344
dutch	camera_obscura	2	NS	974	0.002676905233707019
dutch	camera_obscura	2	HA	5021	0.01379952893063957
dutch	camera_obscura	2	TS	1026	0.0028198200921800837
dutch	camera_obscura	2	SA	2213	0.006082126573094079
dutch	camera_obscura	2	AV	1512	0.00415552434637065
dutch	camera_obscura	2	VA	137	0.0003765256848232665
dutch	camera_obscura	2	EB	763	0.0020970007118259297
dutch	camera_obscura	2	BA	651	0.0017891840935762519
dutch	camera_obscura	2	AC	1460	0.004012609487897585
dutch	camera_obscura	2	CK	1110	0.003050682555867342
dutch	camera_obscura	2	KG	15	4.122543994415327e-05
dutch	camera_obscura	2	GR	584	0.0016050437951590341
dutch	camera_obscura	2	OU	3521	0.009676984936224244
dutch	camera_obscura	2	UN	1367	0.0037570117602438347
dutch	camera_obscura	2	DO	1356	0.003726779770951456
dutch	camera_obscura	2	FM	93	0.0002555977276537503
dutch	camera_obscura	2	MO	1101	0.00302594729190085
dutch	camera_obscura	2	NT	3709	0.010193677116857633
dutch	camera_obscura	2	TA	2047	0.005625898371045449
dutch	camera_obscura	2	DG	296	0.0008135153482312912
dutch	camera_obscura	2	GO	759	0.0020860072611741556
dutch	camera_obscura	2	OR	2423	0.006659282732312225
dutch	camera_obscura	2	RG	224	0.0006156332364993556
dutch	camera_obscura	2	ES	3928	0.01079556854004227
dutch	camera_obscura	2	SH	2840	0.007805349962759686
dutch	camera_obscura	2	TO	3682	0.010119471324958156
dutch	camera_obscura	2	TC	368	0.0010113974599632268
dutch	camera_obscura	2	CL	469	0.0012889820889205256
dutch	camera_obscura	2	LE	2233	0.00613709382635295
dutch	camera_obscura	2	AR	2553	0.0070165698784948865
dutch	camera_obscura	2	RC	253	0.0006953357537247185
dutch	camera_obscura	2	CU	179	0.0004919569166668957
dutch	camera_obscura	2	AS	4178	0.011482659205778158
dutch	camera_obscura	2	CA	967	0.002657666695066414
dutch	camera_obscura	2	ME	2020	0.005551692579145974
dutch	camera_obscura	2	OS	932	0.00256147400186339
dutch	camera_obscura	2	SL	742	0.002039285095904115
dutch	camera_obscura	2	EN	3710	0.010196425479520576
dutch	camera_obscura	2	DE	1851	0.005087219289108514
dutch	camera_obscura	2	EE	1918	0.005271359587525732
dutch	camera_obscura	2	DW	787	0.002162961415736575
dutch	camera_obscura	2	WI	1561	0.004290194116854884
dutch	camera_obscura	2	LD	1205	0.0033117770088469793
dutch	camera_obscura	2	PA	659	0.0018111709948798003
dutch	camera_obscura	2	AL	1634	0.004490824591249763
dutch	camera_obscura	2	LP	77	0.00021162392504665346
dutch	camera_obscura	2	PI	495	0.001360439518157058
dutch	camera_obscura	2	IT	3363	0.009242743635479164
dutch	camera_obscura	2	GB	141	0.00038751913547504076
dutch	camera_obscura	2	BE	1492	0.004100557093111779
dutch	camera_obscura	2	AU	578	0.0015885536191813728
dutch	camera_obscura	2	IF	688	0.0018908735121051633
dutch	camera_obscura	2	FU	261	0.0007173226550282669
dutch	camera_obscura	2	UL	1104	0.0030341923798896807
dutch	camera_obscura	2	LS	286	0.0007860317216018557
dutch	camera_obscura	2	EW	2185	0.0060051724185316594
dutch	camera_obscura	2	WA	3062	0.008415486473933155
dutch	camera_obscura	2	SM	470	0.0012917304515834692
dutch	camera_obscura	2	AP	562	0.0015445798165742758
dutch	camera_obscura	2	IC	1101	0.00302594729190085
dutch	camera_obscura	2	CT	398	0.0010938483398515335
dutch	camera_obscura	2	TU	550	0.0015115994646189533
dutch	camera_obscura	2	UR	1151	0.0031633654250480276
dutch	camera_obscura	2	FE	655	0.0018001775442280262
dutch	camera_obscura	2	EC	1341	0.0036855543310073025
dutch	camera_obscura	2	CO	1204	0.003309028646184036
dutch	camera_obscura	2	YJ	8	2.198690130354841e-05
dutch	camera_obscura	2	JA	46	0.00012642468249540335
dutch	camera_obscura	2	SO	1418	0.0038971782560539557
dutch	camera_obscura	2	OL	975	0.0026796535963699627
dutch	camera_obscura	2	IV	385	0.0010581196252332672
dutch	camera_obscura	2	VE	1857	0.005103709465086175
dutch	camera_obscura	2	RW	285	0.0007832833589389122
dutch	camera_obscura	2	WO	1089	0.0029929669399455273
dutch	camera_obscura	2	DF	583	0.0016022954324960905
dutch	camera_obscura	2	SP	720	0.001978821117319357
dutch	camera_obscura	2	IE	656	0.0018029259068909698
dutch	camera_obscura	2	YL	87	0.00023910755167608897
dutch	camera_obscura	2	RR	630	0.0017314684776544374
dutch	camera_obscura	2	PH	169	0.00046447329003746016
